tr	ota
decucat	دجوجات
mikati	ميقاتي
alimlik	عالملك
raiş	رائش
fart-ı muhabbet	فرط محبت
cibal	جبال
seccadeci	سجاده جي
tebazül	تباذل
kesret-i nukud	كثرت نقود
sümbülteber	سنبل تبر
acarman	آجارمان
hatir	خطير
istifleniş	ايستيفلنيش
atlanma	آتلانمه 
kiralamak	كرالامق
dekorculuk	دقورجيلق
sosyal değerler	صوسيال دگرلر
mekayil	مكايل
mülk-gir	ملكگير
müşevvik	مشوق
bıçkınlaşma	بيچقينلاشمه 
merzencuş	مرزنجوش
aserat	عثرات
ferahlama	فراخلامه 
uyuşmazlık mahkemesi	اويوشمازلق محكمه سي
şeriat-ı museviye	شريعت موسويه 
teslil	تسليل
top çam	طوپ چام
pere-i bini	پرۀ بيني
doymazlık	طويمازلق
kör kaya	كور قيا
yek-ru	يكرو
istitam	استطعام
nekbet-hane	نكبتخانه
kol nizamı	قول نظامي
benatüs-sadr	بنات الصدر
hasva	حثوا
görünüşte	گورونوشده
hamsin	خمسين
gaydak	غيداق
nesr	نثر
muattar	معطر
cazırdatma	جازيرداتمه 
eban	ابان
zelazil	زلازل
müstebdı	مستبضع
sirkinti	سيركينتي
kıvırcık	قيويرجق
dağdar-ı teessüf	داغدار تأسف
gani	غني
mücaveze	مجاوزه
nallamak	نعللامق
tarif etmek	تعريف ايتمك
cilalanmak	جلالانمق
laubaliyane	لااباليانه
meshun	مسخون
bülsün	بلسن
muhallel	محلل
ebu	ابو
çerçevelemek	چرچوه له مك
sayfa	صحيفه
dutgiller	دوتگيللر
klavye	قلاويه
bağlı olmak	باغلي اولمق
esef-nak	اسفناك
metanet	متانت
müstehdif	مستهدف
flaman kuşu	فلامان قوشي
faluğa	فالوغه
ezvah	ازوح
şiba	شباع
ivik	ايويك
susatma	صوساتمه 
velican	وليجان
misaliye	مثاليه
rahimin	راحمين
kayım	قايم
ötekisi	أوته كيسي
ebbedallah	ابد اللّٰه
kara borsacı	قره بورسه جي
pekin	پكين
ilel	علل
pa-sebük	پاسبك
mütehaffızin	متحفظين
dar hat	طار خط
makazz	مقذ
hidemat-ı şakka	خدمات شاقه
zırnıh	زرنيخ
huy	خوي
güpgüzel	گوپ گوزل
menevişli	منويشلي
tıga	طغا 
hafifletme	خفيفلتمه
hakaret	حقارت
koklatmak	قوقلاتمق
meeka	مأقه
harf-i tenkir	حرف تنكير
rahşende	رخشنده
hak-sever	حق سور
ulum-ı şetta	علوم شتي
baykutay	بايقوت آي
kazaha	قضاها
kadime	قادمه
tapu sicili	طاپو سجلي
derakap	درعقب
günahsız	گناهسز
nesike	نسيكه
övgücü	أوگگوجي
kolera	قوله ره
sendikal	سنديقال
kelamiye	كلاميه
laktaz	لاقتاز
ism	اثم
karabuğdaygiller	قره بوغدايگيللر
ilm-i esma	علم اسما
hilbus	هلبوث
saykal vurmak	صيقل وورمق
mutmur	مطمور
altın küpü	آلتين كوپي
çeşitlenmek	چشيتلنمك
bevva	بوا
karasal	قره سال
muğtenim	مغتنم
tanin	طنين
gılal	غلال
cezalandırmak	جزالانديرمق
şülle	شله
dermande-gan	درماندگان
tapusuz	طاپوسز
tesemmuh	تسمح
tuveyrat	طويرات
burunduruk	بوروندوروق
zehebin	ذهبين
bakaya	بقايا
horlama	خورلامه 
kalıplamak	قالبلامق
legabe	لغابه
yararlanma	يارارلانمه 
ala	آلا
mürefref	مرفرف
bartın	بارطن
ceyvad	جيواد
mincar	منجار
yek-avaz	يك آواز
mürde-seng	مرده سنگ
rümle	رمله
ilm-i tabakatül-arz	علم طبقات الارض
hüzn-aver	حزن آور
yirmişer	يگرميشر
gökçe	گوكجه
tekerlekli koltuk	تكرلكلي قولتوق
örgü	أورگو
yürütülmek	يوروتولمك
beyan-ı zaruret	بيان ضرورت
diş eti ünsüzü	ديش أتي أوڭسزي
infirac	انفراج
levye	لويه
müteavvic	متعوج
epikürcü	اپيكورجي
mükateme	مكاتمه
iletişim ortamı	ايلتيشيم اورتامي
garbi	غربي
mükemmil	مكمل
çökkünleşme	چوككونلشمه
cürub	جروب
ibtila-yı şedid	ابتلاي شديد
öldürme	أولديرمه
nüz	نزع
salahiyetsizlik	صلاحيتسزلك
cuma-i atik	جمعۀ عتيق
sepetlenmek	سپتلنمك
sıfat-ı ayniye	صفت عينيه
uğurlayıcı	اوغورلاييجي
keçelenme	كچه لنمه
dolama otu	طولامه اوتي
çeliklemek	چليكله مك
karartma	قرارتمه 
soğuk savaş	صوغوق صاواش
mübahese	مباحثه
aneşneş	عنشنش
müvatene	مواتنه
akçan	آقچان
hacı olmak	حاجي اولمق
benlenme	بڭلنمه
dahil	داخل
hasmane	خصمانه
dinamit	ديناميت
mikamme	مقمه
dürnuk	درنوك
ağaçlık	آغاچلق
teşri-i masuniyet	تشريع مصونيت
paranoyak	پارانوياق
işsizlik	ايشسزلك
cahillik etmek	جاهللك ايتمك
husve	خصوه
hata etmek	خطا ايتمك
insilab	انسلاب
başarman	باشارمان
mü	مي
gılme	غلمه
vidade	وداده
mukayeseli	مقايسه لي
sarıağı	صاري آغي
küpe çiçeğigiller	كوپه چيچگيگيللر
ferahlanma	فراخلانمه 
şehamet	شحامت
eğir	اگير
mahtelefel-melevan	ما اختلف الملوان
laladaş	لالاداش
imtila	امتلا
hoşlaştırma	خوشلاشديرمه 
kükürtlü	كوكورتلي
nakkar-hane	نقارخانه
nevnihal	نونهال
yayla yavşanı	يايله  ياوشاني
layık olmak	لايق اولمق
darbele	دربله
muğamere	مغامره
hakn	حقن
vuruşmak	ووروشمق
uzun	اوزون
teasür	تعاثر
icad-gerde	ايجادگرده
sameyan	صميان
mazif	مضيف
adlandırma	آدلانديرمه 
turşuluk	طورشولق
sancak	سنجاق
yasin	يس
ru-nümun	رونمون
müceddid-i elf-i sani	مجدد الف ثاني
vasfetmek	وصف ايتمك
top etmek	طوپ ايتمك
cefa	جفا
kapılanmak	قاپيلانمق
coplama	چوپلامه 
bağıntı	باغينتي
hamse	خمسه
hezza	هضا
har hur	خار خور
müsellat	مسلط
yiyimli	يييملي
dilüviyüm	ديلووييوم
veranda	ورانده
gacır gucur	غاجير غوجور
nansuk	نانصوق
süfliyet	سفليت
dervah	درواه
taaffün	تعفن
yorgun argın	يورغون آرغين
birikme havzası	بريكمه حوضه سي
etilen	اتيلن
çökkün	چوككون
kurlova	قورلوي
salla	صلا 
oldum olası	اولدم اولاسي
basak	باصاق
etrad	اطرد
firez	فيرز
barika-asa	بارقه آسا
hit	خيط
gravürcü	غراوورجي
hazırcı	حاضرجي
sahv	صحو
garb-ı tahtani	غرب تحتاني
tenşim	تنشيم
dumu	دموع
rauf	رؤف
ataşelik	آتاشه لك
boca alabanda	بوجه آلابانده
rüşt	رشد
ilamat-ı şeriye	اعلامات شرعيه
çömeltmek	چوملتمك
möbleli	موبله لي
rize	ريزه
kıyad	قياد
tezehhür	تزهر
nilüfer	نيلوفر
uzay hukuku	اوزاي حقوقي
safed	صفد
fer-i devlet	فر دولت
miskin	مسكين
nunu	نعنع
memhur	ممهور
av köpeği	آو كوپگي
herk	هرك
kavrama	قاورامه 
pastil	پاستيل
şeref yeri	شرف يري
sudagi	صداغي
yanaşılma	ياناشيلمه 
harbesisa	خربصيصه
edall	اضل
gına	غنا
erdemalp	اردم آلپ
terme	ترمه
ba-asam	باآثام
apolitik	آپوليتيك
kıyı dili	قيي ديلي
ibtira	ابترا
ince ses	اينجه سس
sümün	ثمن
sereyan	سريان
üstatlık	استادلق
şane	شانه
ılgarcı	ايلغارجي
muaveme	معاومه
hudumme	خضمه
sahteci	ساخته جي
ıslahatçı	اصلاحاتجي
hail	هائل
izam-ı remime	عظام رميمه
fetah	فتخ
kaldırımsı	قالديريمسي
güzelhisar-ı menemen	گوزل حصار منمن
öteberi	أوته بري
fahim	فاهم
getto	گتطو
savvane	صوانه
garabin	غرابين
ne ala	نه اعلي
güşade-dest	گشاده دست
hılb	خلب
bais	باعث
imam-ı şafii	امام شافعي 
yüzleşmek	يوزلشمك
harb-ı umumi	حرب عمومي
içme suyu	ايچمه صويي
lafz-ı muhtemel	لفظ محتمل
sahn-i gülşen	صحن گلشن
toplu tabanca	طوپلي طبانجه
na-baliğ	نابالغ
dihda	دهدا
ayke	عيكه
gökyüzü	گوك يوزي
düz ünlü	دوز أوڭلي
behetta	بهطه
kronolojik	قرونولوژيك
adub	عضوب
fazihet	فضيحت
tearuzat	تعارضات
meld	ملد
kula	قلعه
semre	سمره
hepatoloji	هپاتولوژي
vemz	ومض
ağız kokusu	آغيز قوقوسي
dibg	دبغ
hamit	خميط
na-şinas	ناشناس
pare-pare	پاره پاره
gürün	گرون
bühsul	بهصل
hüseyni-zemzeme	حسيني زمزمه
taab-ı dimaği	تعب دماغي
rabız	رابض
evcek	اوجك
bezdirme	بزديرمه
televvüs	تلوث
şeref	شرف
übabe	ابابه
zail olmak	زائل اولمق
doğrulmak	طوغريلمق
kotarılma	قوطاريلمه 
hapislik	حبسلك
hamiyet-i cahiliye	حميت جاهليه
bozarma	بوزارمه 
huvar	خوار
aksiyon	آقسييون
terbiye etmek	تربيه ايتمك
toparlanış	طوپارلانيش
keyiflenmek	كيفلنمك
atıştırma	آتيشديرمه 
klişehane	قليشه خانه
kompostoluk	قومپوصتولق
marzi-i ilahi	مرضئ الهي
müşk-bu	مشكبو
muhis	مخيس
pudriyer	پودريير
eş anlam	اش آڭلام
nem-i dide	نم ديده
sövme	سوگمه
manalandırma	معنالانديرمه 
vatan hainliği	وطن خائنلگي
müsaheme	مساهمه
acaibat	عجائبات
inceltme	اينجلتمه
peçenekçe	پچه نكجه
havakin	خواقين
kürde	كرده
mirbed	مربد
diyet peyniri	دييت پينيري
mirved	مرود
kevel	كول
sorgu yargıcı	صورغو يارغيجي
deflasyon	دفلاسيون
sepet kafalı	سپت قفالي
akciğer zarı	آق جگر زاري
koşturulmak	قوشديريلمق
makru	مقرو
ezgehan	ازگهان
tabela	تابه له
dil-şüde	دلشده
holmiyum	خولمييوم
marokencilik	ماروكنجيلك
mürafaka	مرافقه
eşaim	اشائم
zibar	زيبار
meyve dışı	ميوه طيشي
katedral	قاتدرال
zürka	زرقه
namver	نامور
ilbas	الباس
sürmeleme	سورمه له مه
sağduyu	صاغ دويو
polis noktası	پوليس نقطه سي
oluşuk	اولوشوق
asalet	اصالت
heyef	هيف
üzüm şekeri	أوزوم شكري
kuzey kore	قوزي قوره 
beras	برص
talih kuşu	طالع قوشي
kertenkele	كرتنكه له
huzvane	خزوانه
eyercilik	اگرجيلك
araki	عرقي
kabalı	قبالي
mukaseme	مقاسمه
göksel	گوك سل
televizyon filmi	تله ويزيون فيلمي
bessase	بساسه
müdarat	مدارات
oğuzcan	اوغوزجان
kulak	قولاق
ıdd	عد
kuzulaşma	قوزولاشمه 
ibcam	ابجام
örneklendirmek	أورنكلنديرمك
hanendelik	خواننده لك
ayhatun	آي خاتون
bagar	بغر
durkaya	طور قيا
sağlamlamak	صاغلاملامق
konuşma dili	قونوشمه ديلي
davranma	طاورانمه 
bi-kayd	بي قيد
naka-i salih	ناقۀ صالح
saksaka	سقسقه
namazsız	نمازسز
müteahhirin	متأخرين
yıldız bilimcilik	ييلديز بيليمجيلك
fazilet-meab	فضيلتمئاب
belirginleştirme	بليرگينلشديرمه
dünya-perest	دنياپرست
müteallin	متعلن
mücteba	مجتبا 
har-püşt	خارپشت
hasbel-kader	حسب القدر
cezim	جزم
ihtifad	احتفاد
bekarlık	بكارلق
gard	غارد
alem-i ulema	اعلم علما
yoksulluk	يوقسوللق
ilva	الوا
üstünkörü	أوستون كوري
mikat	ميقات
çaresiz	چاره سز
ılgın	ايلغين
huşk-mağz	خشك مغز
cüvar	جوار
herc ü merc	هرج و مرج
siyahımsı	سياهمسي
kamburlaşmak	قنبورلاشمق
haklaşmak	حقلاشمق
hulefa-yı selase	خلفاي ثلاثه
memsus	ممصوص
belbele	بلبله
saloz	سالوز
gerilemek	گريله مك
mutazarrıane	متضرعانه
ülküdaş	أولكوداش
bölüştürmek	بولوشديرمك
mukza	مقزع
çıkmalı tümleç	چيقمه لي توملچ
zahzah	زحزاح
dalaverecilik	طالاويره جيلك
tertib-kerde	ترتيبكرده
yalıhüyük	يالي هويوك
terütaze	تر و تازه
mahyacılık	ماهيه جيلق
ferağ-ı kati	فراغ قطعي
biset-i nebeviye	بعثت نبويه
dumanlamak	دومانلامق
yıl dönümü	ييل دونومي
hariç	خارج
kürz	كرز
melil	مليل
fidan boylu	فيدان بويلي
azıştırmak	آزيشديرمق
can-dade	جانداده
yayça	يايچه
ören	أورن
vafi	وافي
tula	طولا 
iffetsiz	عفتسز
tac-dar	تاجدار
pespaye	پست پايه
islavlaştırmak	ايسلاولاشديرمق
ırza-i maderi	ارضاع مادري
ittiza	اتضاع
aberasyon	آبه راسيون
ağız değişikliği	آغيز دگيشيكلگي
vaka-nüvis	وقعه نويس
kerde	كرده
kına	قنا 
nekare	نكاره
olanaksızlaşma	اولاناقسزلاشمه 
mirma	مرما
tecik	تجيك
kınay	قيناي
özver	أوز وير
nurhilal	نور هلال
aysev	آي سو
edevat	ادوات
itikadi	اعتقادي
korna	قورنه
korgeneral	قور گنه رال
mumyalaşma	موميالاشمه 
muntazar	منتظر
özdağ	أوز طاغ
kalorifer kazanı	قالوريفر قازاني
ihtiraiyat	اختراعيات
tombalak	طومبالاق
ağır sıklet	آغير ثقلت
bayıltıcı	باييلتيجي
eğri büğrü	اگري بوگري
ecram-ı semaviye	اجرام سماويه
ıtk-ı müneccez	عتق منجز
haşem	خشم
deren	درن
çevirgi	چويرگي
çağan	چاغان
menin	منين
müdli	مدلي
sütlenmek	سوتلنمك
zanin	ظنين
karalamak	قره لامق
ezahir-i efkar	ازاهير افكار
bedih	بديخ
deh	ده
toynak	طويناق
ivedilik	ايوه ديلك
takma saç	طاقمه صاچ
mesela	مثلا
cümle-i ismiye	جملۀ اسميه
kestanelik	كستانه لك
sünger	سونگر
elves	الوث
tinbal	تنبال
konvertisör	قونورتيسور
kavgacı	غوغاجي
müşk-feşan	مشكفشان
kesiş	كسيش
ayıklama	آييقلامه 
tetevvüc	تتوج
muhalün aleyh	محالٌ عليه
ener	اڭ أر
saferan	صفران
eksa	اكسا 
leşkeriye	لشكريه
postacılık	پوسته جيلق
malumu ilam etmek	معلومي اعلام ايتمك
mütefavvız	متفوض
izgü	ايزگو
halli	حاللي
mührelemek	مهره له مك
vetin	وتين
mongol	مونغول
salon adamı	صالون آدمي
stoacı	صتوآجي
firaz	فراز
bıkma	بيقمه 
seyirlik	سيرلك
mavera	ماورا
bedenci	بدنجي
kazara	قضارا
rezil etmek	رذيل ايتمك
yanı sıra	ياني صيره
kepçe kulak	كپچه قولاق
yıldıku	ييلديقو
safita	صافيتا
sanayici	صنايعجي
göçü	گوچي
kanserojen	قانسروژن
edken	ادكن
su muhallebisi	صو محلبيسي
sepetlik	سپتلك
dünya malı	دنيا مالي
behs	بهس
müteselsilen	متسلسلاً
gamtaş	غمطش
hadis-i mevzu	حديث موضوع
otlubağa	اوتلي باغه
vazıldan	واظلدان
ıhtiza	اختزاع
ırak	عراق
sarkıntı olmak	صارقينتي اولمق
cehyer	جهير
deruni	دروني
bad-pay	بادپاي
mim	ميم
münadi	منادي
etkileme	ايتكيله مه
şünan	شنان
irtikaş	ارتقاش
vahid	وحيد
kaşıklama	قاشيقلامه 
kurtuluş	قورتولوش
rehrev	رهرو
tebiye	تأبيه
asılmışadam	آصيلمش آدم
merbutat-ı kadime	مربوطات قديمه
teceyyür	تجير
leffen	لفًا
moral	مورال
vela-yı nimet	ولاي نعمت
savan	صاوان
remk	رمك
katıbeten	قاطبةً
mey-aşam	مي آشام
başpapazlık	باش پاپازلق
odman	اودمان
mala	ماله
milyon	ميليون
farksızlaşmak	فرقسزلاشمق
üleşilmek	أولشيلمك
badem şekeri	بادم شكري
jandarma	ژاندارمه
müstamerat	مستعمرات
karamsarlaşma	قرامسارلاشمه 
ardaklanmak	آرداقلانمق
sıyırtmak	صييرتمق
tadallu	تضلع
iba	اعبا
üşkür	اشكر
etir	اطير
tekehhün	تكهن
cerahor	جراخور
destedad-ı teslim	دسته داد تسليم
